LoanX ID,Mark Date,Bid,Offer,Depth,Evaluated Price,Close Bid,Close Offer,Close Date,Contributed
"LX173187","2020-08-25","93.723","94.548","implied","94.1105","93.673","94.548","2020-08-25","N"
"LX173191","2020-08-25","98.558","99.714","9","99.0795","98.431","99.728","2020-08-25","N"
"LX173199","2020-08-25","96.125","97.75","2","96.9375","96.125","97.75","2020-08-25","N"
"LX173200","2020-08-25","91.5","93.125","4","92.3125","91.5","93.125","2020-08-25","N"
"LX173201","2020-08-25","75.5","78.5","2","77","75.5","78.5","2020-08-25","N"
"LX173204","2020-08-25","80","85","1","99.5","99","100","2020-08-25","N"
"LX173205","2020-08-25","96.5","98.5","1","97.5","96.5","98.5","2020-08-25","N"
"LX173207","2020-08-25","91.5","93","1","92.25","91.5","93","2020-08-25","N"
"LX173210","2020-08-25","93.95","95.45","10","94.7125","93.95","95.475","2020-08-25","N"
"LX173211","2020-08-25","91","93","1","92","91","93","2020-08-25","N"
"LX173212","2020-08-25","93.5","95.5","1","94.5","93.5","95.5","2020-08-25","N"
"LX173215","2020-08-25","97.45","98.575","5","98.0125","97.45","98.575","2020-08-25","N"
"LX173217","2020-08-25","83","87","1","85","83","87","2020-08-25","N"
"LX173218","2020-08-25","12","14","2","13","12","14","2020-08-25","N"
"LX173221","2020-08-25","91.25","93.25","2","92.25","91.25","93.25","2020-08-25","N"
"LX173222","2020-08-25","88.123","90.123","implied","89.123","88.123","90.123","2020-08-25","N"
"LX173225","2020-08-25","98.25","99.25","1","98.75","98.25","99.25","2020-08-25","N"
"LX173226","2020-08-25","97.43","98.43","implied","97.93","97.43","98.43","2020-08-25","N"
"LX173237","2020-08-25","15.5","19","2","17.25","15.5","19","2020-08-25","N"
"LX173238","2020-08-25","14.875","18.542","implied","16.7085","14.875","18.542","2020-08-25","N"
"LX173239","2020-08-25","97.917","98.875","3","98.396","97.917","98.875","2020-08-25","N"
"LX173241","2020-08-25","75","80","1","96.5","96","97","2020-08-25","N"
"LX173242","2020-08-25","99","100","3","99.5","99","100","2020-08-25","N"
"LX173243","2020-08-25","99","100","1","99.5","99","100","2020-08-25","N"
"LX173244","2020-08-25","75","80","1","","","","","N"
"LX173245","2020-08-25","92.873","93.873","implied","93.373","92.873","93.873","2020-08-25","N"
"LX173259","2020-08-25","98.542","99.375","6","98.9585","98.542","99.375","2020-08-25","N"
"LX173260","2020-08-25","99.7","100.55","5","100.0625","99.625","100.5","2020-08-25","N"
"LX173262","2020-08-25","92","97","1","94.5","92","97","2020-08-25","N"
"LX173265","2020-08-25","92.998","94.623","implied","93.8105","92.998","94.623","2020-08-25","N"
"LX173267","2020-08-25","97","98.042","6","97.521","97","98.042","2020-08-25","N"
"LX173268","2020-08-25","97.527","98.417","implied","97.972","97.527","98.417","2020-08-25","N"
"LX173270","2020-08-25","96.306","97.278","9","96.792","96.306","97.278","2020-08-25","N"
"LX173275","2020-08-25","82","85","1","83.5","82","85","2020-08-25","N"
"LX173284","2020-08-25","70","75","1","72.5","70","75","2020-08-25","N"
"LX173285","2020-08-25","65.913","70.913","implied","68.413","65.913","70.913","2020-08-25","N"
"LX173286","2020-08-25","100","101","1","100.5","100","101","2020-08-25","N"
"LX173287","2020-08-25","88.094","89.583","4","88.729","87.875","89.583","2020-08-25","N"
"LX173288","2020-08-25","82.025","84.225","5","83.125","82.025","84.225","2020-08-25","N"
"LX173290","2020-08-25","77.938","80.138","implied","79.038","77.938","80.138","2020-08-25","N"
"LX173291","2020-08-25","45.25","52.75","2","49","45.25","52.75","2020-08-25","N"
"LX173302","2020-08-25","97.68","99.347","implied","98.5135","97.68","99.347","2020-08-25","N"
"LX173305","2020-08-25","88","90","1","89","88","90","2020-08-25","N"
"LX173307","2020-08-25","6.667","8.5","3","7.5835","6.667","8.5","2020-08-25","N"
"LX173310","2020-08-25","60","63.5","2","61.75","60","63.5","2020-08-25","N"
"LX173315","2020-08-25","96.5","97.5","1","97","96.5","97.5","2020-08-25","N"
"LX173316","2020-08-25","93.373","94.373","implied","93.873","93.373","94.373","2020-08-25","N"
"LX173320","2020-08-25","97.25","98.203","8","97.711","97.25","98.172","2020-08-25","N"
"LX173322","2020-08-25","96.656","97.766","8","97.211","96.656","97.766","2020-08-25","N"
"LX173323","2020-08-25","94.861","95.87","implied","95.3655","94.861","95.87","2020-08-25","N"
"LX173324","2020-08-25","92.25","94.05","5","93.15","92.25","94.05","2020-08-25","N"
"LX173326","2020-08-25","97.438","98.75","2","97.875","97.25","98.5","2020-08-25","N"
"LX173342","2020-08-25","98.655","99.305","implied","99.055","98.755","99.355","2020-08-25","N"
"LX173343","2020-08-25","98.655","99.305","implied","99.055","98.755","99.355","2020-08-25","N"
"LX173348","2020-08-25","92.967","93.842","implied","93.4045","92.967","93.842","2020-08-25","N"
"LX173368","2020-08-25","92.25","94.25","3","93.25","92.25","94.25","2020-08-25","N"
"LX173369","2020-08-25","89.123","91.123","implied","90.123","89.123","91.123","2020-08-25","N"
"LX173374","2020-08-25","92.292","95.104","6","93.698","92.292","95.104","2020-08-25","N"
"LX173382","2020-08-25","97.063","97.953","8","97.508","97.063","97.953","2020-08-25","N"
"LX173383","2020-08-25","97.911","98.768","7","98.3395","97.911","98.768","2020-08-25","N"
"LX173384","2020-08-25","93.936","94.826","implied","94.381","93.936","94.826","2020-08-25","N"
"LX173385","2020-08-25","90","94","1","92","90","94","2020-08-25","N"
"LX173386","2020-08-25","88.54","89.957","implied","89.2485","88.54","89.957","2020-08-25","N"
"LX173402","2020-08-25","34","35.25","1","34.625","34","35.25","2020-08-25","N"
"LX173422","2020-08-25","86","88","implied","87","86","88","2020-08-25","N"
"LX173443","2020-08-25","97","98.833","3","97.9165","97","98.833","2020-08-25","N"
"LX173444","2020-08-25","93.873","95.706","implied","94.7895","93.873","95.706","2020-08-25","N"
"LX173447","2020-08-25","90.5","93","2","91.75","90.5","93","2020-08-25","N"
"LX173448","2020-08-25","97.45","98.375","5","97.9125","97.45","98.375","2020-08-25","N"
"LX173453","2020-08-25","67","69","1","68","67","69","2020-08-25","N"
"LX173454","2020-08-25","66.25","68.25","implied","67.25","66.25","68.25","2020-08-25","N"
"LX173458","2020-08-25","96.216","97.284","11","96.7045","96.182","97.227","2020-08-25","N"
"LX173459","2020-08-25","86.5","91","implied","88.75","86.5","91","2020-08-25","N"
"LX173469","2020-08-25","94.311","95.623","implied","94.748","94.123","95.373","2020-08-25","N"
"LX173471","2020-08-25","98.375","99.375","5","98.875","98.375","99.375","2020-08-25","N"
"LX173472","2020-08-25","80.083","82.25","6","81.1665","80.083","82.25","2020-08-25","N"
"LX173473","2020-08-25","97.446","98.214","7","97.8125","97.411","98.214","2020-08-25","N"
"LX173477","2020-08-25","99.078","99.734","8","99.406","99.078","99.734","2020-08-25","N"
"LX173489","2020-08-25","72.208","74.542","6","73.375","72.208","74.542","2020-08-25","N"
"LX173490","2020-08-25","93.417","95.083","3","94.25","93.417","95.083","2020-08-25","N"
"LX173492","2020-08-25","81.667","85","3","83.3335","81.667","85","2020-08-25","N"
"LX173495","2020-08-25","84.5","87.5","1","86","84.5","87.5","2020-08-25","N"
"LX173510","2020-08-25","2","4","1","3","2","4","2020-08-25","N"
"LX173521","2020-08-25","50","53","1","51.5","50","53","2020-08-25","N"
"LX173522","2020-08-25","49.25","52.25","implied","50.75","49.25","52.25","2020-08-25","N"
"LX173525","2020-08-25","93.95","95.65","5","94.8","93.95","95.65","2020-08-25","N"
"LX173527","2020-08-25","82","92","1","87","82","92","2020-08-25","N"
"LX173532","2020-08-25","97.875","99.125","2","98.5","97.875","99.125","2020-08-25","N"
"LX173537","2020-08-25","95.5","96.857","7","96.1515","95.464","96.839","2020-08-25","N"
"LX173538","2020-08-25","87.844","91.292","6","89.875","88.25","91.5","2020-08-25","N"
"LX173545","2020-08-25","93.873","94.915","implied","94.394","93.873","94.915","2020-08-25","N"
"LX173548","2020-08-25","97.969","99.031","4","98.5","97.906","99.094","2020-08-25","N"
"LX173549","2020-08-25","60.083","62.75","3","61.0005","59.438","62.563","2020-08-25","N"
"LX173551","2020-08-25","97.125","98.7","5","97.9125","97.125","98.7","2020-08-25","N"
"LX173552","2020-08-25","95","96","2","95.5","95","96","2020-08-25","N"
"LX173561","2020-08-25","65","68.75","4","66.875","65","68.75","2020-08-25","N"
"LX173562","2020-08-25","64.25","68","implied","66.125","64.25","68","2020-08-25","N"
